State,Month,Year,Month Number,Month Name,Monthly Sales
Arkansas,2015-04-01,2015,4,April,0.0
Arkansas,2015-05-01,2015,5,May,0.0
Arkansas,2015-06-01,2015,6,June,904.13
Arkansas,2015-07-01,2015,7,July,0.0
Arkansas,2015-08-01,2015,8,August,1123.6100000000001
Arkansas,2015-09-01,2015,9,September,1793.98
Arkansas,2015-10-01,2015,10,October,621.57
Arkansas,2015-11-01,2015,11,November,0.0
Arkansas,2015-12-01,2015,12,December,0.0
Arkansas,2016-01-01,2016,1,January,0.0
Arkansas,2016-02-01,2016,2,February,29.99
Arkansas,2016-03-01,2016,3,March,0.0
Arkansas,2016-04-01,2016,4,April,0.0
Arkansas,2016-05-01,2016,5,May,0.0
Arkansas,2016-06-01,2016,6,June,0.0
Arkansas,2016-07-01,2016,7,July,0.0
Arkansas,2016-08-01,2016,8,August,0.0
Arkansas,2016-09-01,2016,9,September,0.0
Arkansas,2016-10-01,2016,10,October,0.0
Arkansas,2016-11-01,2016,11,November,308.2
Arkansas,2016-12-01,2016,12,December,105.42
Arkansas,2017-01-01,2017,1,January,0.0
Arkansas,2017-02-01,2017,2,February,0.0
Arkansas,2017-03-01,2017,3,March,0.0
Arkansas,2017-04-01,2017,4,April,215.83999999999997
Arkansas,2017-05-01,2017,5,May,140.52
Arkansas,2017-06-01,2017,6,June,678.87
Arkansas,2017-07-01,2017,7,July,0.0
Arkansas,2017-08-01,2017,8,August,0.0
Arkansas,2017-09-01,2017,9,September,239.5
Arkansas,2017-10-01,2017,10,October,0.0
Arkansas,2017-11-01,2017,11,November,59.98
Arkansas,2017-12-01,2017,12,December,889.48
Arkansas,2018-01-01,2018,1,January,0.0
Arkansas,2018-02-01,2018,2,February,0.0
Arkansas,2018-03-01,2018,3,March,40.41
Arkansas,2018-04-01,2018,4,April,0.0
Arkansas,2018-05-01,2018,5,May,48.9
Arkansas,2018-06-01,2018,6,June,117.62
Arkansas,2018-07-01,2018,7,July,0.0
Arkansas,2018-08-01,2018,8,August,0.0
Arkansas,2018-09-01,2018,9,September,939.82
Arkansas,2018-10-01,2018,10,October,199.17
Arkansas,2018-11-01,2018,11,November,4.3
Arkansas,2018-12-01,2018,12,December,1357.42
California,2015-01-01,2015,1,January,2455.185
California,2015-02-01,2015,2,February,308.702
California,2015-03-01,2015,3,March,7239.0960000000005
California,2015-04-01,2015,4,April,7892.0509999999995
California,2015-05-01,2015,5,May,5960.0199999999995
California,2015-06-01,2015,6,June,4379.3240000000005
California,2015-07-01,2015,7,July,16231.650999999998
California,2015-08-01,2015,8,August,5090.892
California,2015-09-01,2015,9,September,4646.597
California,2015-10-01,2015,10,October,4582.182
California,2015-11-01,2015,11,November,13690.0625
California,2015-12-01,2015,12,December,16999.3865
California,2016-01-01,2016,1,January,5889.954
California,2016-02-01,2016,2,February,1198.714
California,2016-03-01,2016,3,March,5852.804
California,2016-04-01,2016,4,April,8469.552
California,2016-05-01,2016,5,May,8055.5755
California,2016-06-01,2016,6,June,3018.538
California,2016-07-01,2016,7,July,4146.832
California,2016-08-01,2016,8,August,8454.083
California,2016-09-01,2016,9,September,7267.5109999999995
California,2016-10-01,2016,10,October,9443.003
California,2016-11-01,2016,11,November,8669.273
California,2016-12-01,2016,12,December,15155.743
California,2017-01-01,2017,1,January,2876.464
California,2017-02-01,2017,2,February,3085.794
California,2017-03-01,2017,3,March,15857.442
California,2017-04-01,2017,4,April,6297.218
California,2017-05-01,2017,5,May,5344.928
California,2017-06-01,2017,6,June,16049.335
California,2017-07-01,2017,7,July,8605.369
California,2017-08-01,2017,8,August,9573.0
California,2017-09-01,2017,9,September,12234.4215
California,2017-10-01,2017,10,October,7163.222
California,2017-11-01,2017,11,November,17896.488
California,2017-12-01,2017,12,December,21559.282
California,2018-01-01,2018,1,January,5163.432
California,2018-02-01,2018,2,February,6484.747
California,2018-03-01,2018,3,March,11331.194
California,2018-04-01,2018,4,April,8784.206
California,2018-05-01,2018,5,May,9914.196
California,2018-06-01,2018,6,June,9012.0855
California,2018-07-01,2018,7,July,12923.859
California,2018-08-01,2018,8,August,14534.322
California,2018-09-01,2018,9,September,18067.032
California,2018-10-01,2018,10,October,15776.301000000001
California,2018-11-01,2018,11,November,13357.371000000001
California,2018-12-01,2018,12,December,19318.023
Colorado,2015-03-01,2015,3,March,719.576
Colorado,2015-04-01,2015,4,April,0.0
Colorado,2015-05-01,2015,5,May,0.0
Colorado,2015-06-01,2015,6,June,233.00400000000002
Colorado,2015-07-01,2015,7,July,209.96800000000002
Colorado,2015-08-01,2015,8,August,645.726
Colorado,2015-09-01,2015,9,September,14.576
Colorado,2015-10-01,2015,10,October,0.0
Colorado,2015-11-01,2015,11,November,3376.228
Colorado,2015-12-01,2015,12,December,1303.216
Colorado,2016-01-01,2016,1,January,31.538
Colorado,2016-02-01,2016,2,February,0.0
Colorado,2016-03-01,2016,3,March,3.408
Colorado,2016-04-01,2016,4,April,49.400000000000006
Colorado,2016-05-01,2016,5,May,1094.0
Colorado,2016-06-01,2016,6,June,125.944
Colorado,2016-07-01,2016,7,July,0.0
Colorado,2016-08-01,2016,8,August,0.0
Colorado,2016-09-01,2016,9,September,42.768
Colorado,2016-10-01,2016,10,October,1336.138
Colorado,2016-11-01,2016,11,November,538.41
Colorado,2016-12-01,2016,12,December,1417.664
Colorado,2017-01-01,2017,1,January,0.0
Colorado,2017-02-01,2017,2,February,0.0
Colorado,2017-03-01,2017,3,March,232.27800000000002
Colorado,2017-04-01,2017,4,April,1373.8919999999998
Colorado,2017-05-01,2017,5,May,914.943
Colorado,2017-06-01,2017,6,June,749.488
Colorado,2017-07-01,2017,7,July,3056.912
Colorado,2017-08-01,2017,8,August,363.594
Colorado,2017-09-01,2017,9,September,1334.416
Colorado,2017-10-01,2017,10,October,1781.6180000000002
Colorado,2017-11-01,2017,11,November,0.0
Colorado,2017-12-01,2017,12,December,859.5999999999999
Colorado,2018-01-01,2018,1,January,337.688
Colorado,2018-02-01,2018,2,February,9.432
Colorado,2018-03-01,2018,3,March,1332.496
Colorado,2018-04-01,2018,4,April,2643.6610000000005
Colorado,2018-05-01,2018,5,May,120.783
Colorado,2018-06-01,2018,6,June,578.28
Colorado,2018-07-01,2018,7,July,0.0
Colorado,2018-08-01,2018,8,August,16.752000000000002
Colorado,2018-09-01,2018,9,September,819.212
Colorado,2018-10-01,2018,10,October,646.1279999999999
Colorado,2018-11-01,2018,11,November,88.768
Colorado,2018-12-01,2018,12,December,3440.093
Connecticut,2015-05-01,2015,5,May,27.46
Connecticut,2015-06-01,2015,6,June,21.4
Connecticut,2015-07-01,2015,7,July,455.23
Connecticut,2015-08-01,2015,8,August,1401.56
Connecticut,2015-09-01,2015,9,September,0.0
Connecticut,2015-10-01,2015,10,October,0.0
Connecticut,2015-11-01,2015,11,November,888.3699999999999
Connecticut,2015-12-01,2015,12,December,0.0
Connecticut,2016-01-01,2016,1,January,0.0
Connecticut,2016-02-01,2016,2,February,0.0
Connecticut,2016-03-01,2016,3,March,0.0
Connecticut,2016-04-01,2016,4,April,370.14
Connecticut,2016-05-01,2016,5,May,115.99
Connecticut,2016-06-01,2016,6,June,0.0
Connecticut,2016-07-01,2016,7,July,0.0
Connecticut,2016-08-01,2016,8,August,470.36
Connecticut,2016-09-01,2016,9,September,301.25
Connecticut,2016-10-01,2016,10,October,26.9
Connecticut,2016-11-01,2016,11,November,0.0
Connecticut,2016-12-01,2016,12,December,0.0
Connecticut,2017-01-01,2017,1,January,181.797
Connecticut,2017-02-01,2017,2,February,0.0
Connecticut,2017-03-01,2017,3,March,211.09
Connecticut,2017-04-01,2017,4,April,67.32000000000001
Connecticut,2017-05-01,2017,5,May,805.5899999999999
Connecticut,2017-06-01,2017,6,June,584.7700000000001
Connecticut,2017-07-01,2017,7,July,0.0
Connecticut,2017-08-01,2017,8,August,0.0
Connecticut,2017-09-01,2017,9,September,48.16
Connecticut,2017-10-01,2017,10,October,1179.27
Connecticut,2017-11-01,2017,11,November,80.49
Connecticut,2017-12-01,2017,12,December,840.0
Connecticut,2018-01-01,2018,1,January,3.52
Connecticut,2018-02-01,2018,2,February,612.12
Connecticut,2018-03-01,2018,3,March,823.12
Connecticut,2018-04-01,2018,4,April,403.02
Connecticut,2018-05-01,2018,5,May,0.0
Connecticut,2018-06-01,2018,6,June,705.0300000000001
Connecticut,2018-07-01,2018,7,July,847.46
Connecticut,2018-08-01,2018,8,August,0.0
Connecticut,2018-09-01,2018,9,September,336.24
Connecticut,2018-10-01,2018,10,October,13.05
Connecticut,2018-11-01,2018,11,November,0.0
Connecticut,2018-12-01,2018,12,December,1563.65
Delaware,2015-01-01,2015,1,January,9.94
Delaware,2015-02-01,2015,2,February,0.0
Delaware,2015-03-01,2015,3,March,0.0
Delaware,2015-04-01,2015,4,April,19.98
Delaware,2015-05-01,2015,5,May,0.0
Delaware,2015-06-01,2015,6,June,65.97
Delaware,2015-07-01,2015,7,July,39.48
Delaware,2015-08-01,2015,8,August,190.01
Delaware,2015-09-01,2015,9,September,55.46
Delaware,2015-10-01,2015,10,October,0.0
Delaware,2015-11-01,2015,11,November,4387.91
Delaware,2015-12-01,2015,12,December,17.28
Delaware,2016-01-01,2016,1,January,580.58
Delaware,2016-02-01,2016,2,February,1558.4199999999998
Delaware,2016-03-01,2016,3,March,807.54
Delaware,2016-04-01,2016,4,April,0.0
Delaware,2016-05-01,2016,5,May,0.0
Delaware,2016-06-01,2016,6,June,29.9
Delaware,2016-07-01,2016,7,July,1136.896
Delaware,2016-08-01,2016,8,August,0.0
Delaware,2016-09-01,2016,9,September,0.0
Delaware,2016-10-01,2016,10,October,527.6400000000001
Delaware,2016-11-01,2016,11,November,1549.3600000000001
Delaware,2016-12-01,2016,12,December,0.0
Delaware,2017-01-01,2017,1,January,0.0
Delaware,2017-02-01,2017,2,February,0.0
Delaware,2017-03-01,2017,3,March,1256.77
Delaware,2017-04-01,2017,4,April,0.0
Delaware,2017-05-01,2017,5,May,211.96
Delaware,2017-06-01,2017,6,June,950.23
Delaware,2017-07-01,2017,7,July,0.0
Delaware,2017-08-01,2017,8,August,0.0
Delaware,2017-09-01,2017,9,September,0.0
Delaware,2017-10-01,2017,10,October,7.92
Delaware,2017-11-01,2017,11,November,164.77
Delaware,2017-12-01,2017,12,December,0.0
Delaware,2018-01-01,2018,1,January,0.0
Delaware,2018-02-01,2018,2,February,0.0
Delaware,2018-03-01,2018,3,March,627.48
Delaware,2018-04-01,2018,4,April,0.0
Delaware,2018-05-01,2018,5,May,299.52
Delaware,2018-06-01,2018,6,June,0.0
Delaware,2018-07-01,2018,7,July,1679.153
Delaware,2018-08-01,2018,8,August,0.0
Delaware,2018-09-01,2018,9,September,391.98
Delaware,2018-10-01,2018,10,October,0.0
Delaware,2018-11-01,2018,11,November,10756.85
Florida,2015-02-01,2015,2,February,199.296
Florida,2015-03-01,2015,3,March,25883.325999999997
Florida,2015-04-01,2015,4,April,737.2
Florida,2015-05-01,2015,5,May,1196.32
Florida,2015-06-01,2015,6,June,63.381
Florida,2015-07-01,2015,7,July,1016.802
Florida,2015-08-01,2015,8,August,1767.4105
Florida,2015-09-01,2015,9,September,418.17600000000004
Florida,2015-10-01,2015,10,October,25.752000000000002
Florida,2015-11-01,2015,11,November,806.562
Florida,2015-12-01,2015,12,December,2108.787
Florida,2016-01-01,2016,1,January,13.12
Florida,2016-02-01,2016,2,February,0.0
Florida,2016-03-01,2016,3,March,1987.048
Florida,2016-04-01,2016,4,April,316.02750000000003
Florida,2016-05-01,2016,5,May,533.6
Florida,2016-06-01,2016,6,June,3530.328
Florida,2016-07-01,2016,7,July,259.424
Florida,2016-08-01,2016,8,August,4.608
Florida,2016-09-01,2016,9,September,919.636
Florida,2016-10-01,2016,10,October,2920.4475
Florida,2016-11-01,2016,11,November,3644.6594999999998
Florida,2016-12-01,2016,12,December,110.94200000000001
Florida,2017-01-01,2017,1,January,255.904
Florida,2017-02-01,2017,2,February,471.07800000000003
Florida,2017-03-01,2017,3,March,1476.4
Florida,2017-04-01,2017,4,April,0.0
Florida,2017-05-01,2017,5,May,1187.262
Florida,2017-06-01,2017,6,June,754.1
Florida,2017-07-01,2017,7,July,1212.1290000000001
Florida,2017-08-01,2017,8,August,1308.0605
Florida,2017-09-01,2017,9,September,1362.1599999999999
Florida,2017-10-01,2017,10,October,1269.219
Florida,2017-11-01,2017,11,November,2531.289
Florida,2017-12-01,2017,12,December,1701.362
Florida,2018-01-01,2018,1,January,421.944
Florida,2018-02-01,2018,2,February,119.17800000000001
Florida,2018-03-01,2018,3,March,133.126
Florida,2018-04-01,2018,4,April,3706.4315
Florida,2018-05-01,2018,5,May,4059.4700000000003
Florida,2018-06-01,2018,6,June,2826.538
Florida,2018-07-01,2018,7,July,379.6
Florida,2018-08-01,2018,8,August,4628.311999999999
Florida,2018-09-01,2018,9,September,1976.152
Florida,2018-10-01,2018,10,October,1773.647
Florida,2018-11-01,2018,11,November,5236.965999999999
Florida,2018-12-01,2018,12,December,1183.3509999999999
Georgia,2015-01-01,2015,1,January,162.73
Georgia,2015-02-01,2015,2,February,0.0
Georgia,2015-03-01,2015,3,March,0.0
Georgia,2015-04-01,2015,4,April,1479.96
Georgia,2015-05-01,2015,5,May,0.0
Georgia,2015-06-01,2015,6,June,605.47
Georgia,2015-07-01,2015,7,July,256.47999999999996
Georgia,2015-08-01,2015,8,August,344.91
Georgia,2015-09-01,2015,9,September,266.41
Georgia,2015-10-01,2015,10,October,0.0
Georgia,2015-11-01,2015,11,November,1032.57
Georgia,2015-12-01,2015,12,December,61.239999999999995
Georgia,2016-01-01,2016,1,January,9.82
Georgia,2016-02-01,2016,2,February,74.52
Georgia,2016-03-01,2016,3,March,6471.49
Georgia,2016-04-01,2016,4,April,896.3100000000001
Georgia,2016-05-01,2016,5,May,17.94
Georgia,2016-06-01,2016,6,June,274.88
Georgia,2016-07-01,2016,7,July,38.88
Georgia,2016-08-01,2016,8,August,1148.07
Georgia,2016-09-01,2016,9,September,1185.71
Georgia,2016-10-01,2016,10,October,392.94
Georgia,2016-11-01,2016,11,November,0.0
Georgia,2016-12-01,2016,12,December,567.18
Georgia,2017-01-01,2017,1,January,1712.35
Georgia,2017-02-01,2017,2,February,3441.5499999999997
Georgia,2017-03-01,2017,3,March,650.94
Georgia,2017-04-01,2017,4,April,392.7
Georgia,2017-05-01,2017,5,May,1326.7
Georgia,2017-06-01,2017,6,June,1438.78
Georgia,2017-07-01,2017,7,July,88.15
Georgia,2017-08-01,2017,8,August,186.54
Georgia,2017-09-01,2017,9,September,1291.82
Georgia,2017-10-01,2017,10,October,0.0
Georgia,2017-11-01,2017,11,November,3229.0699999999997
Georgia,2017-12-01,2017,12,December,299.07
Georgia,2018-01-01,2018,1,January,3008.3199999999997
Georgia,2018-02-01,2018,2,February,1245.86
Georgia,2018-03-01,2018,3,March,3826.91
Georgia,2018-04-01,2018,4,April,4194.11
Georgia,2018-05-01,2018,5,May,3146.35
Georgia,2018-06-01,2018,6,June,544.14
Georgia,2018-07-01,2018,7,July,372.71000000000004
Georgia,2018-08-01,2018,8,August,71.98
Georgia,2018-09-01,2018,9,September,2389.45
Georgia,2018-10-01,2018,10,October,0.0
Georgia,2018-11-01,2018,11,November,74.1
Idaho,2015-04-01,2015,4,April,9.584
Idaho,2015-05-01,2015,5,May,0.0
Idaho,2015-06-01,2015,6,June,0.0
Idaho,2015-07-01,2015,7,July,0.0
Idaho,2015-08-01,2015,8,August,0.0
Idaho,2015-09-01,2015,9,September,0.0
Idaho,2015-10-01,2015,10,October,0.0
Idaho,2015-11-01,2015,11,November,0.0
Idaho,2015-12-01,2015,12,December,455.63199999999995
Idaho,2016-01-01,2016,1,January,0.0
Idaho,2016-02-01,2016,2,February,0.0
Idaho,2016-03-01,2016,3,March,0.0
Idaho,2016-04-01,2016,4,April,0.0
Idaho,2016-05-01,2016,5,May,0.0
Idaho,2016-06-01,2016,6,June,495.736
Idaho,2016-07-01,2016,7,July,0.0
Idaho,2016-08-01,2016,8,August,3.304
Idaho,2016-09-01,2016,9,September,0.0
Idaho,2016-10-01,2016,10,October,0.0
Idaho,2016-11-01,2016,11,November,1001.1959999999999
Idaho,2016-12-01,2016,12,December,0.0
Idaho,2017-01-01,2017,1,January,0.0
Idaho,2017-02-01,2017,2,February,0.0
Idaho,2017-03-01,2017,3,March,34.68
Idaho,2017-04-01,2017,4,April,0.0
Idaho,2017-05-01,2017,5,May,0.0
Idaho,2017-06-01,2017,6,June,0.0
Idaho,2017-07-01,2017,7,July,0.0
Idaho,2017-08-01,2017,8,August,0.0
Idaho,2017-09-01,2017,9,September,1148.806
Idaho,2017-10-01,2017,10,October,0.0
Idaho,2017-11-01,2017,11,November,0.0
Idaho,2017-12-01,2017,12,December,0.0
Idaho,2018-01-01,2018,1,January,0.0
Idaho,2018-02-01,2018,2,February,0.0
Idaho,2018-03-01,2018,3,March,0.0
Idaho,2018-04-01,2018,4,April,0.0
Idaho,2018-05-01,2018,5,May,814.526
Idaho,2018-06-01,2018,6,June,0.0
Idaho,2018-07-01,2018,7,July,0.0
Idaho,2018-08-01,2018,8,August,0.0
Idaho,2018-09-01,2018,9,September,89.97
Idaho,2018-10-01,2018,10,October,307.74
Idaho,2018-11-01,2018,11,November,0.0
Idaho,2018-12-01,2018,12,December,21.312
Illinois,2015-01-01,2015,1,January,288.06
Illinois,2015-02-01,2015,2,February,72.00999999999999
Illinois,2015-03-01,2015,3,March,1323.0639999999999
Illinois,2015-04-01,2015,4,April,101.728
Illinois,2015-05-01,2015,5,May,1840.899
Illinois,2015-06-01,2015,6,June,325.217
Illinois,2015-07-01,2015,7,July,251.45200000000003
Illinois,2015-08-01,2015,8,August,421.372
Illinois,2015-09-01,2015,9,September,2575.188
Illinois,2015-10-01,2015,10,October,4222.947
Illinois,2015-11-01,2015,11,November,2654.576
Illinois,2015-12-01,2015,12,December,1700.1779999999999
Illinois,2016-01-01,2016,1,January,254.744
Illinois,2016-02-01,2016,2,February,479.952
Illinois,2016-03-01,2016,3,March,1203.274
Illinois,2016-04-01,2016,4,April,2045.7250000000001
Illinois,2016-05-01,2016,5,May,1234.017
Illinois,2016-06-01,2016,6,June,941.929
Illinois,2016-07-01,2016,7,July,4506.0470000000005
Illinois,2016-08-01,2016,8,August,2859.808
Illinois,2016-09-01,2016,9,September,348.81600000000003
Illinois,2016-10-01,2016,10,October,464.912
Illinois,2016-11-01,2016,11,November,1592.848
Illinois,2016-12-01,2016,12,December,2645.992
Illinois,2017-01-01,2017,1,January,2224.308
Illinois,2017-02-01,2017,2,February,167.182
Illinois,2017-03-01,2017,3,March,2568.444
Illinois,2017-04-01,2017,4,April,503.88
Illinois,2017-05-01,2017,5,May,4006.6110000000003
Illinois,2017-06-01,2017,6,June,3420.982
Illinois,2017-07-01,2017,7,July,1397.268
Illinois,2017-08-01,2017,8,August,166.368
Illinois,2017-09-01,2017,9,September,4439.484
Illinois,2017-10-01,2017,10,October,104.036
Illinois,2017-11-01,2017,11,November,796.208
Illinois,2017-12-01,2017,12,December,1238.948
Illinois,2018-01-01,2018,1,January,2428.783
Illinois,2018-02-01,2018,2,February,1824.9099999999999
Illinois,2018-03-01,2018,3,March,1429.942
Illinois,2018-04-01,2018,4,April,1120.916
Illinois,2018-05-01,2018,5,May,861.8470000000001
Illinois,2018-06-01,2018,6,June,2852.339
Illinois,2018-07-01,2018,7,July,1521.144
Illinois,2018-08-01,2018,8,August,516.532
Illinois,2018-09-01,2018,9,September,4069.581
Illinois,2018-10-01,2018,10,October,2092.668
Illinois,2018-11-01,2018,11,November,1227.3709999999999
Illinois,2018-12-01,2018,12,December,3902.01
Indiana,2015-02-01,2015,2,February,82.63
Indiana,2015-03-01,2015,3,March,16.28
Indiana,2015-04-01,2015,4,April,32.4
Indiana,2015-05-01,2015,5,May,0.0
Indiana,2015-06-01,2015,6,June,647.84
Indiana,2015-07-01,2015,7,July,0.0
Indiana,2015-08-01,2015,8,August,0.0
Indiana,2015-09-01,2015,9,September,0.0
Indiana,2015-10-01,2015,10,October,464.2
Indiana,2015-11-01,2015,11,November,372.62
Indiana,2015-12-01,2015,12,December,1314.9
Indiana,2016-01-01,2016,1,January,0.0
Indiana,2016-02-01,2016,2,February,0.0
Indiana,2016-03-01,2016,3,March,196.64999999999998
Indiana,2016-04-01,2016,4,April,209.55
Indiana,2016-05-01,2016,5,May,138.32
Indiana,2016-06-01,2016,6,June,24.56
Indiana,2016-07-01,2016,7,July,1238.33
Indiana,2016-08-01,2016,8,August,11.36
Indiana,2016-09-01,2016,9,September,1931.3400000000001
Indiana,2016-10-01,2016,10,October,412.24
Indiana,2016-11-01,2016,11,November,1443.97
Indiana,2016-12-01,2016,12,December,1034.0
Indiana,2017-01-01,2017,1,January,0.0
Indiana,2017-02-01,2017,2,February,0.0
Indiana,2017-03-01,2017,3,March,285.73
Indiana,2017-04-01,2017,4,April,331.08
Indiana,2017-05-01,2017,5,May,21.4
Indiana,2017-06-01,2017,6,June,440.91
Indiana,2017-07-01,2017,7,July,0.0
Indiana,2017-08-01,2017,8,August,0.0
Indiana,2017-09-01,2017,9,September,238.11
Indiana,2017-10-01,2017,10,October,18448.49
Indiana,2017-11-01,2017,11,November,3641.91
Indiana,2017-12-01,2017,12,December,2054.15
Indiana,2018-01-01,2018,1,January,0.0
Indiana,2018-02-01,2018,2,February,0.0
Indiana,2018-03-01,2018,3,March,367.49
Indiana,2018-04-01,2018,4,April,155.34
Indiana,2018-05-01,2018,5,May,2751.9700000000003
Indiana,2018-06-01,2018,6,June,526.45
Indiana,2018-07-01,2018,7,July,1337.71
Indiana,2018-08-01,2018,8,August,2800.6600000000003
Indiana,2018-09-01,2018,9,September,0.0
Indiana,2018-10-01,2018,10,October,909.12
Indiana,2018-11-01,2018,11,November,3980.31
Indiana,2018-12-01,2018,12,December,856.38
Iowa,2015-03-01,2015,3,March,1190.84
Iowa,2015-04-01,2015,4,April,0.0
Iowa,2015-05-01,2015,5,May,0.0
Iowa,2015-06-01,2015,6,June,0.0
Iowa,2015-07-01,2015,7,July,0.0
Iowa,2015-08-01,2015,8,August,0.0
Iowa,2015-09-01,2015,9,September,0.0
Iowa,2015-10-01,2015,10,October,0.0
Iowa,2015-11-01,2015,11,November,0.0
Iowa,2015-12-01,2015,12,December,0.0
Iowa,2016-01-01,2016,1,January,0.0
Iowa,2016-02-01,2016,2,February,0.0
Iowa,2016-03-01,2016,3,March,0.0
Iowa,2016-04-01,2016,4,April,0.0
Iowa,2016-05-01,2016,5,May,0.0
Iowa,2016-06-01,2016,6,June,0.0
Iowa,2016-07-01,2016,7,July,0.0
Iowa,2016-08-01,2016,8,August,0.0
Iowa,2016-09-01,2016,9,September,1449.24
Iowa,2016-10-01,2016,10,October,0.0
Iowa,2016-11-01,2016,11,November,263.96
Iowa,2016-12-01,2016,12,December,0.0
Iowa,2017-01-01,2017,1,January,0.0
Iowa,2017-02-01,2017,2,February,0.0
Iowa,2017-03-01,2017,3,March,0.0
Iowa,2017-04-01,2017,4,April,0.0
Iowa,2017-05-01,2017,5,May,0.0
Iowa,2017-06-01,2017,6,June,0.0
Iowa,2017-07-01,2017,7,July,0.0
